iops	wrnd	bw	lat	rrnd	i	cap	rdsz	s	warm	qdep	wr	str	test	wght	wrsz	
1670	0	295.48	4.79	0	0	128	172	0	0.0	8	25	1	5.0	1	208	
4809	100	235.46	12.47	50	0	128	52	0	0.0	60	50	1	5.0	1	48	
6534	100	230.10	8.56	0	0	128	40	0	0.0	56	50	1	5.0	1	32	
986	50	158.44	16.16	100	0	128	16	0	0.0	16	100	1	5.0	1	164	
2316	50	524.99	3.45	50	0	128	232	0	0.0	8	0	1	5.0	1	68	
1940	50	208.43	6.18	100	0	128	164	0	0.0	12	75	1	5.0	1	92	
1882	50	188.37	25.43	100	0	128	48	0	0.0	48	50	1	5.0	1	156	
3461	50	311.46	8.09	0	0	128	92	0	0.0	28	25	1	5.0	1	92	
5749	0	381.82	7.64	100	0	128	84	0	0.0	44	25	1	5.0	1	20	
1188	100	163.42	30.19	50	0	128	152	0	0.0	36	100	1	5.0	1	140	
1952	100	236.54	14.32	50	0	128	244	0	0.0	28	75	1	5.0	1	84	
2702	50	177.07	8.88	0	0	128	20	0	0.0	24	25	1	5.0	1	208	
788	50	165.03	60.50	100	0	128	248	0	0.0	48	100	1	5.0	0	212	
1598	0	356.73	27.46	50	0	128	244	0	0.0	44	25	1	5.0	1	176	
1771	0	215.66	24.80	100	0	128	96	0	0.0	44	50	1	5.0	1	152	
12156	50	474.92	0.66	0	0	128	40	0	0.0	8	0	1	5.0	1	136	
1530	0	337.66	18.27	100	0	128	232	0	0.0	28	25	1	5.0	1	204	
6819	50	506.88	7.62	100	0	128	76	0	0.0	52	0	1	5.0	1	48	
922	100	163.53	47.22	100	0	128	212	0	0.0	44	100	1	5.0	1	180	
1477	50	155.99	5.39	0	0	128	92	0	0.0	8	100	1	5.0	1	108	
