  s i   cap  qdep  wr  wrnd  rrnd  str  wrsz  rdsz   warm   test     bw     iops      lat
  0 0   512    32 100    40   100    1    94   124    0.0    5.0   1.17        6   630.49
  0 0   512     1   0   100    80    1   177    23    0.0    5.0   6.63      295     3.38
  0 0   512     8   0    80   100    1    55   129    0.0    5.0  12.96      101    78.11
  0 0   512     4 100     0    60    1   158     1    0.0    5.0   1.73       10   314.89
  0 0   512    64   0   100    60    1   185   146    0.0    5.0  16.59      104   572.58
  0 0   512    16  60   100    60    1   103    98    0.0    5.0   0.53        2  1657.87
  0 0   512     1  60    80   100    1    80    75    0.0    5.0   0.12        1   702.57
  0 0   512    64   0     0     0    1    11   157    0.0    5.0  13.68       76   763.87
  0 0   512     1  60    20   100    1   118   160    0.0    5.0   0.34        3   267.86
  0 0   512     1  40    20    20    1   130   186    0.0    5.0   0.60        4   199.52
  0 0   512    16  60   100    60    1   103    98    0.0    5.0   0.45        1  1410.32
  0 0   512     2  40    40    20    1   110    44    0.0    5.0   0.15        1   744.40
  0 0   512    32 100    40    80    1    19   181    0.0    5.0   0.17        3  3058.57
  0 0   512    32  40   100     0    1   220   184    0.0    5.0   1.84        3   360.67
  0 0   512     2  40    40    20    1    44   131    0.0    5.0   0.42        4   362.75
  0 0   512    16  40    20    40    1   119   240    0.0    5.0   1.14        3   794.75
  0 0   512     4  40     0    60    1   106   238    0.0    5.0   0.92        5   627.50
  0 0   512     2  20    80    60    1   144   243    0.0    5.0   0.42        2   845.11
  0 0   512     4  60   100   100    1   210   184    0.0    5.0   0.39        1  2220.11
  0 0   512    32  20    20    40    1   192   255    0.0    5.0   2.50        4   591.45
  0 0   512    32  40    80    20    1   132   205    0.0    5.0   1.91        4   392.39
  0 0   512     1  20   100    60    1    39    26    0.0    5.0   0.14        5   198.76
  0 0   512    16   0     0   100    1   164   102    0.0    5.0  13.87      136   115.91
  0 0   512    64  80    20    80    1   135    36    0.0    5.0   1.88        4  1662.57
  0 0   512    16  20    20    40    1   195    38    0.0    5.0   0.99       10  1050.47
  0 0   512     1  40   100    20    1   220   210    0.0    5.0   0.25        1   993.43
