 train         node      observed        predicted
     n           13    2.600000E-01    1.080000E+00
     y           13    9.800000E-01    1.080000E+00
     y           12    5.100000E-01    4.225000E-01
     y            7    2.700000E+00    1.136667E+00
     y           13    9.300000E-01    1.080000E+00
     y           12    2.100000E-01    4.225000E-01
     y           13    1.910000E+00    1.080000E+00
     y            7    4.200000E-01    1.136667E+00
     y            2    1.603000E+01    1.577333E+01
     y           12    7.000000E-01    4.225000E-01
     y           12    2.700000E-01    4.225000E-01
     y            2    1.420000E+01    1.577333E+01
     y           13    5.000000E-01    1.080000E+00
     y            7    2.900000E-01    1.136667E+00
     y            2    1.709000E+01    1.577333E+01
